t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
29	0.0118592	0.011712	0.0183232	0.0118816	0.0115552	0.0117056	0.0118752	0.0201248	0.0121568	0.0117152	0.0116768	0.205763	0.0132384	0.018432	0.0126912	0.0200672	0.0124288	0.0211424	1.01257	0.987588	1.02825	0.972529	0.985718	1.01449	1.03769	0.963675	1.56448	0.63919	1.54506	0.647223	1.69469	0.590078	1.71925	0.58165	1.39231	0.718229	1.58119	0.632435	1.70108	0.587861	0.224086	0.217622	0.217475
30	0.0132608	0.01304	0.0199456	0.0141216	0.0158304	0.0136416	0.0130848	0.020944	0.0134048	0.0134304	0.0130112	0.213843	0.0139488	0.0190464	0.0137536	0.0222176	0.0140192	0.0218304	1.01693	0.98335	0.892056	1.12101	1.04255	0.959184	0.998094	1.00191	1.52957	0.653778	1.5041	0.664848	1.60064	0.624752	1.5353	0.651337	1.36545	0.732359	1.6154	0.619041	1.55718	0.642187	0.233789	0.227104	0.226883
31	0.0148992	0.0147008	0.0201184	0.0151936	0.014688	0.0146528	0.0151552	0.0218752	0.0147808	0.0145728	0.014672	0.22159	0.0149856	0.0193408	0.015024	0.0216352	0.0145792	0.0214592	1.0135	0.986684	1.03442	0.966723	0.96685	1.03429	1.01427	0.985928	1.36852	0.730714	1.3503	0.740576	1.44341	0.692803	1.4929	0.669836	1.29063	0.774818	1.44004	0.694424	1.4719	0.679392	0.241709	0.23649	0.236291
32	0.0207136	0.0202368	0.0199584	0.0204032	0.02032	0.021856	0.0213504	0.0213376	0.0217952	0.0212768	0.0182144	0.228765	0.0180768	0.0192864	0.0194208	0.0204352	0.0211776	0.0197536	1.02356	0.976981	1.00409	0.995922	1.02368	0.976867	1.02436	0.976215	0.986243	1.01395	0.963541	1.03784	0.9994	1.0006	0.976281	1.0243	1.06691	0.937282	1.05223	0.95036	0.932759	1.07209	0.248723	0.249478	0.249002
33	0.0311328	0.0315744	0.0214432	0.0315456	0.0317152	0.040704	0.0408928	0.023872	0.0406528	0.0407872	0.0279936	0.267763	0.0286336	0.0204704	0.0311616	0.0235808	0.0391424	0.0219264	0.986014	1.01418	0.994653	1.00538	0.995383	1.00464	0.996705	1.00331	0.679132	1.47247	0.688766	1.45187	0.58377	1.713	0.586478	1.70509	0.714908	1.39878	0.756726	1.32148	0.56017	1.78517	0.289206	0.298896	0.299338
34	0.0300128	0.0302304	0.0202752	0.0308448	0.0300544	0.0404576	0.041232	0.0237088	0.0411168	0.0406752	0.028528	0.276346	0.0286848	0.0209152	0.0315392	0.023264	0.0415488	0.0236864	0.992802	1.00725	1.0263	0.974375	0.981219	1.01914	1.01086	0.98926	0.670689	1.491	0.675552	1.48027	0.57501	1.7391	0.586016	1.70644	0.729139	1.37148	0.737622	1.35571	0.570086	1.75412	0.296621	0.306358	0.306576
35	0.03216	0.0324	0.0213568	0.0323104	0.0316608	0.0428224	0.0417728	0.0242368	0.0426624	0.0413088	0.0287808	0.284381	0.0287392	0.0208768	0.0324832	0.0232928	0.0418144	0.02368	0.992593	1.00746	1.02052	0.979895	1.02513	0.97549	1.03277	0.968272	0.65916	1.51708	0.66408	1.50584	0.580205	1.72353	0.565984	1.76683	0.726422	1.37661	0.717072	1.39456	0.566312	1.76581	0.305738	0.316541	0.316781
36	0.0317536	0.0316288	0.0212032	0.0316128	0.0316768	0.04176	0.0405664	0.0228352	0.0405984	0.0407296	0.0279872	0.292138	0.0286112	0.0194912	0.030848	0.0213472	0.0407232	0.0214752	1.00395	0.99607	0.99798	1.00202	1.02942	0.971418	0.996779	1.00323	0.670376	1.4917	0.667742	1.49759	0.562909	1.77649	0.54682	1.82876	0.681244	1.4679	0.692012	1.44506	0.527346	1.89629	0.313341	0.323891	0.323766
37	0.0306368	0.0307232	0.0214048	0.0319072	0.0305824	0.04232	0.0422304	0.0237696	0.04256	0.0424576	0.0287776	0.300547	0.0286656	0.0241472	0.0331072	0.0248768	0.0437408	0.0266016	0.997188	1.00282	1.04332	0.95848	1.00212	0.997883	1.00241	0.997594	0.696698	1.43534	0.698663	1.43131	0.562855	1.77666	0.561664	1.78043	0.842376	1.18712	0.751402	1.33085	0.608164	1.64429	0.321952	0.331184	0.33127
38	0.0369248	0.0362112	0.025024	0.0362208	0.0358336	0.0429856	0.0433312	0.0238016	0.043104	0.0430976	0.0323552	0.312803	0.0318016	0.0210336	0.0366432	0.0233536	0.0428512	0.0236224	1.01971	0.980674	1.01081	0.98931	0.992024	1.00804	1.00015	0.999852	0.691057	1.44706	0.677702	1.47558	0.549295	1.82052	0.553711	1.806	0.661401	1.51194	0.637324	1.56906	0.551266	1.81401	0.337827	0.349728	0.349014
39	0.0397216	0.0389344	0.0210048	0.0397952	0.0389824	0.0434208	0.0438624	0.0242912	0.0432	0.0429632	0.0333024	0.316317	0.0341472	0.0203424	0.0388768	0.0227296	0.0430688	0.0224704	1.02022	0.980182	1.02085	0.979575	0.989932	1.01017	1.00551	0.994518	0.539492	1.8536	0.5288	1.89107	0.553805	1.80569	0.559437	1.78751	0.595727	1.67862	0.584657	1.7104	0.521733	1.91669	0.337322	0.356038	0.355251
