t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
27	0.0117824	0.0118976	0.0175232	0.012016	0.0117856	0.0120448	0.0121088	0.020096	0.012128	0.0119328	0.0113536	0.194141	0.0117632	0.0177376	0.0118464	0.0190496	0.0120768	0.0200608	0.990317	1.00978	1.01955	0.980826	0.994715	1.00531	1.01636	0.983905	1.47283	0.678963	1.48724	0.672389	1.65962	0.602548	1.66844	0.599363	1.50789	0.663179	1.60805	0.621871	1.6611	0.60201	0.211664	0.205923	0.206038
28	0.0116064	0.0116928	0.017296	0.0116544	0.0115552	0.0117056	0.0118784	0.0200672	0.0117472	0.0117344	0.0115488	0.201379	0.0117088	0.0174368	0.0117728	0.0188544	0.011792	0.0196576	0.992611	1.00744	1.00858	0.991488	0.985453	1.01476	1.00109	0.99891	1.4792	0.676041	1.49021	0.671045	1.68939	0.591931	1.71432	0.58332	1.4892	0.671499	1.60152	0.624406	1.66703	0.59987	0.218675	0.212986	0.213072
29	0.0116736	0.011776	0.0172736	0.0118688	0.0116896	0.0119488	0.0121024	0.0198528	0.0119488	0.011808	0.0117248	0.208336	0.0118368	0.0174848	0.0119776	0.019616	0.0119552	0.0201408	0.991304	1.00877	1.01533	0.984902	0.987308	1.01285	1.01192	0.988216	1.46685	0.681734	1.47971	0.675806	1.6404	0.609607	1.66149	0.60187	1.47716	0.676977	1.63772	0.610604	1.68469	0.593581	0.22561	0.22001	0.220112
30	0.0117664	0.011856	0.0173216	0.011888	0.0130112	0.0119456	0.0120448	0.0199136	0.012144	0.0118944	0.0118336	0.215469	0.0120032	0.0175904	0.0120128	0.0195776	0.011904	0.019984	0.992443	1.00761	0.913674	1.09448	0.991764	1.0083	1.02098	0.979447	1.461	0.684463	1.47212	0.679291	1.65329	0.604853	1.66702	0.599871	1.46548	0.682372	1.62973	0.613599	1.67876	0.595677	0.23279	0.227235	0.227325
31	0.0131232	0.0132864	0.0179168	0.0133824	0.0131168	0.0130976	0.013232	0.0200704	0.013328	0.0134112	0.0131392	0.222771	0.0133376	0.0180032	0.013296	0.0195808	0.0130912	0.020016	0.987717	1.01244	1.02025	0.980153	0.989843	1.01026	0.993796	1.00624	1.34851	0.741561	1.36528	0.732452	1.51681	0.659279	1.53237	0.652583	1.34981	0.740846	1.47268	0.679033	1.52897	0.654037	0.240688	0.235894	0.236058
32	0.0188352	0.0187616	0.0176992	0.0187648	0.0187648	0.0199328	0.019904	0.0193024	0.0199104	0.0199136	0.016624	0.230099	0.0166304	0.0179232	0.0185792	0.0187104	0.0198944	0.0191328	1.00392	0.996092	1	1	1.00145	0.998555	0.999839	1.00016	0.943374	1.06003	0.939687	1.06418	0.969775	1.03117	0.968374	1.03266	1.07774	0.92787	1.00706	0.992988	0.961718	1.03981	0.247798	0.248934	0.248861
33	0.0310592	0.0307072	0.0195552	0.0313728	0.0308064	0.0403008	0.0402528	0.0227072	0.0405952	0.0401504	0.0272384	0.271229	0.0272576	0.0193056	0.0311936	0.0212608	0.0403328	0.021888	1.01146	0.988667	1.01839	0.981946	1.00119	0.998809	1.01108	0.989043	0.636828	1.57028	0.629611	1.58828	0.564115	1.77269	0.563443	1.7748	0.708265	1.4119	0.681576	1.46719	0.542685	1.84269	0.290784	0.302288	0.301936
34	0.0308352	0.03096	0.0195168	0.0309344	0.030592	0.04056	0.040608	0.0226592	0.0408064	0.0405664	0.0270464	0.279392	0.0272288	0.019408	0.0312608	0.0214272	0.040576	0.0220064	0.995969	1.00405	1.01119	0.988931	0.998818	1.00118	1.00592	0.994119	0.630388	1.58633	0.632939	1.57993	0.557998	1.79212	0.558659	1.79	0.712775	1.40297	0.685434	1.45893	0.54235	1.84383	0.298909	0.310227	0.310352
35	0.031104	0.0311968	0.0194976	0.0313792	0.030944	0.0412288	0.0412384	0.0227584	0.0411872	0.0411168	0.0274304	0.287504	0.0275904	0.0193824	0.030736	0.0213504	0.0411968	0.0219424	0.997025	1.00298	1.01406	0.986131	0.999767	1.00023	1.00171	0.998291	0.624987	1.60003	0.626852	1.59527	0.551874	1.81201	0.552002	1.81159	0.702505	1.42348	0.694638	1.4396	0.532624	1.8775	0.307002	0.318608	0.318701
36	0.0310656	0.0312864	0.0194688	0.0312192	0.0312352	0.0415328	0.04176	0.0229568	0.0417728	0.0416832	0.0276096	0.295482	0.0275264	0.0193568	0.0314688	0.0208672	0.0417952	0.0218208	0.992943	1.00711	0.999488	1.00051	0.994559	1.00547	1.00215	0.997855	0.622277	1.607	0.6267	1.59566	0.549732	1.81907	0.552739	1.80917	0.703209	1.42205	0.663108	1.50805	0.522089	1.91538	0.31495	0.326547	0.326768
