t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
28	0.0454583	0.0466414	0.046455	0.0455389	0.0466229	0.0666675	0.0679979	0.0463413	0.0698918	0.0672994	0.0450066	0.0562457	0.0452909	0.0390368	0.0431005	0.0487658	0.066288	0.0346396	0.974634	1.02603	0.97675	1.0238	0.980435	1.01996	1.03852	0.962908	0.996004	1.00401	1.02193	0.978545	0.681511	1.46733	0.695111	1.43862	0.861913	1.16021	1.13144	0.883826	0.522562	1.91365	0.102701	0.101704	0.102887
29	0.0522333	0.0544591	0.0651928	0.0521618	0.0529413	0.0821653	0.0927664	0.0650553	0.0841124	0.083348	0.0524883	0.0601756	0.0528403	0.0556559	0.0632348	0.0622659	0.0826237	0.0482834	0.959129	1.04261	0.985276	1.01494	0.885723	1.12902	1.00917	0.990912	1.1971	0.835355	1.24811	0.801213	0.701281	1.42596	0.791761	1.26301	1.05329	0.94941	0.984678	1.01556	0.584377	1.71122	0.125368	0.112409	0.114635
30	0.0549699	0.0576571	0.0709474	0.0552886	0.0563008	0.0864462	0.0888078	0.0709629	0.0881125	0.0871247	0.0554346	0.0630882	0.0558977	0.0597866	0.0677984	0.0640283	0.0865433	0.0504031	0.953393	1.04888	0.982022	1.01831	0.973408	1.02732	1.01134	0.988789	1.23051	0.812674	1.29066	0.774798	0.799062	1.25147	0.820891	1.21819	1.06957	0.934954	0.944392	1.05888	0.582403	1.71702	0.134036	0.118058	0.120745
31	0.0599186	0.0610528	0.0932127	0.0595621	0.0606691	0.144215	0.148351	0.0931722	0.143909	0.146481	0.0603402	0.0686702	0.0604318	0.0797581	0.138313	0.0744569	0.147214	0.0609216	0.981423	1.01893	0.981754	1.01859	0.972121	1.02868	0.982439	1.01787	1.52676	0.654984	1.55566	0.642816	0.628054	1.59222	0.646066	1.54783	1.3198	0.757689	0.538322	1.85762	0.41383	2.41645	0.161883	0.128589	0.129723
32	0.0453546	0.0594002	0.0583112	0.046668	0.0466435	0.0877817	0.106374	0.0584751	0.0904608	0.09802	0.0454841	0.0711788	0.0592671	0.0582465	0.0947181	0.076438	0.0979355	0.0631631	0.763543	1.30968	1.00053	0.999475	0.825215	1.21181	0.922881	1.08356	0.981667	1.01868	1.28567	0.777803	0.54971	1.81914	0.666142	1.50118	0.98278	1.01752	0.807005	1.23915	0.644946	1.55052	0.12949	0.116533	0.130579
33	0.0726707	0.0768576	0.0889927	0.0720357	0.0733817	0.131062	0.155208	0.0888517	0.131968	0.135402	0.074154	0.0883057	0.0750658	0.0820366	0.12925	0.087348	0.135788	0.0735499	0.945524	1.05761	0.981658	1.01869	0.844429	1.18423	0.974646	1.02601	1.15789	0.863639	1.2246	0.816592	0.57247	1.74682	0.677938	1.47506	1.09286	0.915028	0.675807	1.47971	0.541654	1.8462	0.177298	0.160976	0.165163
34	0.0818038	0.095711	0.0949251	0.0826726	0.0853939	0.143529	0.169065	0.0949112	0.14424	0.148276	0.0839287	0.10406	0.0843235	0.086224	0.14	0.0902362	0.148528	0.0764023	0.854696	1.17001	0.968132	1.03292	0.848961	1.17791	0.97278	1.02798	0.991789	1.00828	1.1604	0.861772	0.56139	1.78129	0.661268	1.51225	1.02254	0.977959	0.644542	1.55149	0.514398	1.94402	0.198985	0.185864	0.199771
35	0.092262	0.104038	0.125144	0.0922688	0.0949181	0.187679	0.219162	0.125058	0.188665	0.194193	0.0953746	0.124469	0.0951751	0.115587	0.184465	0.108072	0.195586	0.093966	0.886809	1.12764	0.972089	1.02871	0.856347	1.16775	0.971536	1.0293	1.20287	0.831348	1.3564	0.737247	0.570618	1.75249	0.666339	1.50074	1.21446	0.823409	0.585866	1.70687	0.480434	2.08145	0.249613	0.216731	0.228507
36	0.0965001	0.113105	0.112211	0.0976046	0.100257	0.158224	0.180071	0.112147	0.158752	0.160903	0.100145	0.144251	0.101086	0.102365	0.158814	0.101373	0.16197	0.0876014	0.853193	1.17207	0.973542	1.02718	0.878676	1.13808	0.986634	1.01355	0.992103	1.00796	1.16281	0.859985	0.622795	1.60566	0.708789	1.41086	1.01265	0.987511	0.638316	1.56662	0.54085	1.84894	0.256463	0.240751	0.257356
37	0.112942	0.128728	0.151647	0.113459	0.116788	0.21066	0.25213	0.151154	0.211693	0.221028	0.116581	0.169607	0.120588	0.139294	0.218156	0.130776	0.221839	0.117039	0.877365	1.13978	0.971495	1.02934	0.835522	1.19686	0.957766	1.0441	1.17804	0.848869	1.3427	0.744768	0.59951	1.66803	0.717528	1.39367	1.15512	0.865709	0.59946	1.66817	0.527584	1.89543	0.321253	0.282548	0.298335
38	0.113566	0.135728	0.159157	0.115099	0.117071	0.226276	0.264836	0.159169	0.228855	0.233393	0.116931	0.192321	0.124668	0.144523	0.226645	0.129336	0.234498	0.115856	0.836719	1.19514	0.983156	1.01713	0.854401	1.17041	0.980555	1.01983	1.17262	0.852789	1.40145	0.713545	0.60101	1.66387	0.703428	1.42161	1.15927	0.862614	0.570653	1.75238	0.494059	2.02405	0.351478	0.305887	0.328048
39	0.128835	0.158151	0.203707	0.130184	0.13489	0.287857	0.330791	0.203935	0.288968	0.294943	0.133159	0.221511	0.144042	0.189086	0.287722	0.150829	0.296451	0.136986	0.814637	1.22754	0.96511	1.03615	0.870207	1.14915	0.979743	1.02068	1.28806	0.776363	1.58114	0.632453	0.616507	1.62204	0.70846	1.41151	1.31271	0.761781	0.524218	1.9076	0.462087	2.1641	0.425219	0.350347	0.379662
40	0.112232	0.116137	0.13465	0.114232	0.113926	0.179007	0.196399	0.134611	0.19334	0.17796	0.116332	0.250305	0.120999	0.13493	0.17422	0.140135	0.17956	0.126694	0.966373	1.0348	1.00269	0.997322	0.911442	1.09716	1.08642	0.920451	1.15941	0.86251	1.19975	0.833507	0.685396	1.45901	0.75199	1.3298	1.11513	0.896755	0.804355	1.24323	0.705582	1.41727	0.384955	0.362537	0.366442
41	0.178863	0.197376	0.188075	0.182618	0.184982	0.253393	0.311042	0.188181	0.265637	0.263279	0.185158	0.266302	0.195314	0.186607	0.253325	0.171142	0.264882	0.156956	0.906206	1.1035	0.987222	1.01294	0.814658	1.22751	1.00896	0.991124	0.952877	1.04945	1.0515	0.951021	0.605	1.65289	0.742644	1.34654	0.955421	1.04666	0.675581	1.48021	0.592553	1.68761	0.454378	0.445166	0.463679
42	0.188845	0.208744	0.193141	0.193506	0.194229	0.265799	0.324535	0.193365	0.281937	0.27494	0.195462	0.274696	0.212494	0.18712	0.264034	0.17564	0.278407	0.161543	0.904673	1.10537	0.996281	1.00373	0.819015	1.22098	1.02545	0.975181	0.925255	1.08078	1.02275	0.977756	0.595822	1.67835	0.727486	1.3746	0.880591	1.1356	0.665217	1.50327	0.580241	1.72342	0.467837	0.463541	0.48344
43	0.205794	0.226175	0.247558	0.209746	0.211368	0.341992	0.390788	0.2483	0.356907	0.356068	0.21172	0.287283	0.220836	0.240741	0.342214	0.20759	0.359532	0.192917	0.909889	1.09904	0.992328	1.00773	0.875134	1.14268	1.00236	0.997648	1.09454	0.913623	1.20294	0.831295	0.635383	1.57385	0.726041	1.37733	1.09014	0.917317	0.606611	1.6485	0.536578	1.86366	0.534841	0.493077	0.513458
44	0.2012	0.215015	0.222041	0.204354	0.204802	0.290089	0.332985	0.221696	0.296843	0.296957	0.207657	0.296446	0.20611	0.204923	0.284139	0.186657	0.278247	0.167397	0.935747	1.06866	0.997815	1.00219	0.871178	1.14787	0.999618	1.00038	1.03267	0.968359	1.10358	0.906139	0.665785	1.50199	0.764236	1.3085	0.994241	1.00579	0.656922	1.52225	0.601611	1.6622	0.518486	0.497645	0.511461
45	0.226877	0.272989	0.259	0.220044	0.222605	0.327797	0.393458	0.24007	0.326651	0.31952	0.198779	0.252017	0.217715	0.214505	0.305842	0.187294	0.301467	0.174414	0.831084	1.20325	0.988495	1.01164	0.833118	1.20031	1.02232	0.978171	0.948756	1.05401	1.14159	0.875973	0.610153	1.63893	0.732374	1.36542	0.985257	1.01496	0.612387	1.63295	0.578553	1.72845	0.511017	0.478894	0.525006
